,train_loss,val_loss
0,1.3119345903396606,13.630485534667969
1,1.2594597339630127,16.75019073486328
2,1.2001912593841553,13.986239433288574
3,1.160455346107483,4.860249042510986
4,1.1389386653900146,3.112778425216675
5,1.0610102415084839,2.1242029666900635
6,1.0486599206924438,2.536329984664917
7,1.022164225578308,1.2809151411056519
8,0.9862948060035706,1.0462678670883179
9,0.9320595264434814,1.2421659231185913
10,0.9074741005897522,1.004085898399353
11,0.9850186705589294,0.9060209393501282
12,0.9693766832351685,0.8794695138931274
13,0.9952854514122009,1.0480140447616577
14,0.8930848836898804,0.926312267780304
15,0.9149875640869141,0.8181526064872742
16,0.9782677888870239,0.8411233425140381
17,0.8513182997703552,0.861513614654541
18,0.9463115334510803,0.7652772068977356
19,0.9402211904525757,0.9207032322883606
20,0.8382313847541809,0.8501191139221191
21,0.8323962688446045,0.8290364146232605
22,0.8111146092414856,0.8136638402938843
23,0.8222748041152954,0.7581126689910889
24,0.8274110555648804,0.7495014667510986
25,0.8136566877365112,0.8147670030593872
26,0.8735840916633606,0.7778462171554565
27,0.8254401087760925,0.73317950963974
28,0.8833858370780945,0.7423046827316284
29,0.8297271132469177,0.7091953754425049
30,0.8033229112625122,0.7900999188423157
31,0.7887204885482788,0.8255974054336548
32,0.8218134641647339,0.7810419797897339
33,0.7952720522880554,0.8438982367515564
34,0.7860074639320374,0.7341378331184387
35,0.7985128164291382,0.7545368671417236
36,0.767672598361969,0.7642096281051636
37,0.7745090126991272,0.7421836256980896
38,0.7726578712463379,0.7470877170562744
39,0.7912724614143372,0.74113529920578
40,0.7695115208625793,0.8092949986457825
41,0.8037742376327515,0.7581201791763306
42,0.7894278168678284,0.7327440977096558
43,0.7667375206947327,0.8949263691902161
44,0.7745342254638672,0.7219815850257874
45,0.7859413027763367,0.7626255750656128
46,0.7772848606109619,0.7340360879898071
47,0.753734290599823,0.7596917152404785
48,0.7618744969367981,0.7731935977935791
49,0.7520725727081299,0.7455030679702759
50,0.7352607846260071,0.7408871054649353
51,0.7459779381752014,0.7546821236610413
52,0.7742931246757507,0.70753014087677
53,0.7549091577529907,0.722038984298706
54,0.7518945932388306,0.7323776483535767
55,0.7525264024734497,0.7709737420082092
56,0.7518412470817566,0.7466914057731628
57,0.731935441493988,0.7715882658958435
58,0.7410787343978882,0.7195582389831543
59,0.7447094321250916,0.719036877155304
60,0.7493188381195068,0.7152645587921143
61,0.7266150116920471,0.719857394695282
62,0.7376431226730347,0.7348935604095459
63,0.7540409564971924,0.7551829814910889
64,0.7418762445449829,0.7774327993392944
65,0.7433868646621704,0.7215825915336609
66,0.7185145616531372,0.713642954826355
67,0.7326115369796753,0.7084336280822754
68,0.7611060738563538,0.7382898330688477
69,0.7344462275505066,0.7227880954742432
70,0.7436627149581909,0.713901698589325
71,0.7279813289642334,0.7110866904258728
72,0.7495038509368896,0.7410482168197632
73,0.7236517071723938,0.7325029969215393
74,0.7292901873588562,0.7776056528091431
75,0.7397894859313965,0.7219946384429932
76,0.732290506362915,0.7488049268722534
77,0.7342633008956909,0.7246378660202026
78,0.7388585209846497,0.7281888723373413
79,0.7348268032073975,0.7150923013687134
80,0.7264588475227356,0.7492275238037109
81,0.731045663356781,0.7330149412155151
82,0.7214068174362183,0.7208619713783264
83,0.7521713376045227,0.7289199233055115
84,0.7314507961273193,0.7022302150726318
85,0.7150751948356628,0.7249961495399475
86,0.7437359690666199,0.7167656421661377
87,0.7267377972602844,0.7152753472328186
88,0.731879711151123,0.7225861549377441
89,0.7329054474830627,0.7141947150230408
90,0.7308523058891296,0.7308478951454163
91,0.7220093607902527,0.7299533486366272
92,0.7239271998405457,0.7050912976264954
93,0.7290614247322083,0.7328620553016663
94,0.7288556694984436,0.7297492623329163
95,0.7340819239616394,0.7300950884819031
96,0.7188518047332764,0.7183232307434082
97,0.7311316132545471,0.7303808927536011
98,0.7383122444152832,0.711965799331665
99,0.7296150326728821,0.7083082795143127
