latitude,longitude,bright_ti4,scan,track,acq_time,satellite,confidence,bright_ti5,frp,daynight,Class
58.78207,-120.46037,301.11,0.49,0.49,1118,0,1,281.25,1.44,0,0
57.94658,-121.55021,299.67,0.49,0.49,938,0,1,284.54,1.12,0,0
59.06569,-120.31332,314.68,0.49,0.48,1118,0,1,286.19,1.59,0,0
59.08807,-120.33863,299.34,0.48,0.48,1118,0,1,283.05,2.21,0,0
60.3308,-117.77725,306.47,0.39,0.44,937,0,1,281.0,1.87,0,0
60.3682,-118.09772,305.12,0.4,0.44,937,0,1,280.24,1.27,0,0
58.70173,-121.16492,299.01,0.49,0.48,938,0,1,284.16,4.82,0,0
58.82505,-118.14618,313.59,0.39,0.44,938,0,1,288.32,2.85,0,0
58.81436,-120.46571,319.92,0.49,0.49,1118,0,1,281.73,4.77,0,0
58.84464,-118.08531,301.93,0.38,0.43,938,0,1,283.95,1.04,0,0
58.63154,-120.53342,313.26,0.49,0.49,1118,0,1,281.48,2.84,0,0
58.65502,-120.48925,322.89,0.5,0.49,1118,0,1,280.92,5.79,0,0
59.07811,-120.33113,306.2,0.46,0.47,938,0,1,278.72,4.71,0,0
59.17039,-120.38024,307.66,0.48,0.48,1118,0,1,284.08,1.78,0,0
59.75979,-111.77503,356.38,0.44,0.38,1930,0,1,305.99,8.5,1,0
58.88063,-120.46502,312.98,0.49,0.48,1118,0,1,284.87,1.68,0,0
57.08708,-100.27995,320.11,0.38,0.43,937,0,1,287.2,4.08,0,0
58.69015,-120.48627,302.71,0.46,0.47,938,0,1,282.95,2.35,0,0
58.56526,-120.74731,304.02,0.49,0.49,1118,0,1,282.92,1.62,0,0
57.67343,-120.47108,301.46,0.54,0.51,1118,0,1,281.29,1.26,0,0
58.78231,-120.4564,300.21,0.49,0.49,1118,0,1,280.96,3.18,0,0
58.71446,-120.48846,310.54,0.49,0.49,1118,0,1,282.0,1.8,0,0
58.13327,-118.59783,318.52,0.59,0.53,1118,0,1,289.15,4.1,0,0
58.75742,-120.15257,309.12,0.45,0.47,938,0,1,282.05,2.4,0,0
58.84843,-120.45946,308.12,0.49,0.48,1118,0,1,282.78,1.91,0,0
58.73961,-120.04261,320.24,0.44,0.46,938,0,1,285.62,3.75,0,0
57.09235,-100.24745,351.96,0.38,0.43,937,0,1,313.9,12.24,0,0
59.91025,-112.17858,325.15,0.42,0.61,2111,0,1,292.49,4.5,1,0
57.9461,-121.54211,303.23,0.49,0.49,938,0,1,285.1,1.85,0,0
58.12563,-118.55561,351.45,0.39,0.44,938,0,1,304.03,8.8,0,0
58.63581,-120.54861,328.64,0.49,0.49,1118,0,1,282.14,5.04,0,0
58.79789,-120.44382,306.25,0.49,0.49,1118,0,1,281.76,3.87,0,0
58.68208,-120.48306,309.46,0.49,0.49,1118,0,1,280.62,1.55,0,0
58.78842,-118.00421,302.19,0.59,0.52,1118,0,1,286.41,6.2,0,0
58.00247,-119.67854,302.31,0.55,0.51,1118,0,1,280.13,2.17,0,0
60.41365,-118.05421,306.72,0.4,0.44,937,0,1,280.27,1.06,0,0
58.64967,-120.47781,299.72,0.5,0.49,1118,0,1,282.32,1.62,0,0
58.82451,-118.13949,331.33,0.38,0.44,938,0,1,286.01,2.85,0,0
58.87849,-120.45742,305.33,0.49,0.48,1118,0,1,284.47,1.68,0,0
55.44644,-123.58678,336.25,0.5,0.49,1119,0,1,279.27,2.69,0,0
60.38503,-118.09993,304.88,0.4,0.44,937,0,1,280.69,1.45,0,0
57.09441,-100.27382,316.53,0.38,0.43,937,0,1,284.03,2.54,0,0
60.39666,-118.08879,305.35,0.4,0.44,937,0,1,281.03,1.77,0,0
57.75702,-120.83117,342.32,0.52,0.5,1119,0,1,288.34,5.53,0,0
59.75535,-112.50971,303.16,0.39,0.59,1117,0,1,285.6,0.98,0,0
57.09521,-100.2591,315.54,0.38,0.43,937,0,1,288.05,5.23,0,0
58.15559,-121.71517,295.04,0.47,0.48,1118,0,1,279.17,2.05,0,0
59.76226,-111.77612,315.49,0.41,0.6,1117,0,1,287.75,2.23,0,0
58.82256,-118.0648,330.17,0.38,0.43,938,0,1,286.17,5.54,0,0
